question,label
오늘 강남 미세먼지 심할까,S-DATE S-LOCATION O O
내일 강남 미세먼지 심할까,S-DATE S-LOCATION O O
모레 강남 미세먼지 심할까,S-DATE S-LOCATION O O
글피 강남 미세먼지 심할까,S-DATE S-LOCATION O O
어제 강남 미세먼지 심할까,S-DATE S-LOCATION O O
그제 강남 미세먼지 심할까,S-DATE S-LOCATION O O
지금 강남 미세먼지 심할까,S-DATE S-LOCATION O O
월요일 강남 미세먼지 심할까,S-DATE S-LOCATION O O
화요일 강남 미세먼지 심할까,S-DATE S-LOCATION O O
수요일 강남 미세먼지 심할까,S-DATE S-LOCATION O O
목요일 강남 미세먼지 심할까,S-DATE S-LOCATION O O
금요일 강남 미세먼지 심할까,S-DATE S-LOCATION O O
토요일 강남 미세먼지 심할까,S-DATE S-LOCATION O O
일요일 강남 미세먼지 심할까,S-DATE S-LOCATION O O
오늘 의정부 미세먼지 없을까,S-DATE S-LOCATION O O
내일 의정부 미세먼지 없을까,S-DATE S-LOCATION O O
모레 의정부 미세먼지 없을까,S-DATE S-LOCATION O O
글피 의정부 미세먼지 없을까,S-DATE S-LOCATION O O
어제 의정부 미세먼지 없을까,S-DATE S-LOCATION O O
그제 의정부 미세먼지 없을까,S-DATE S-LOCATION O O
지금 의정부 미세먼지 없을까,S-DATE S-LOCATION O O
월요일 의정부 미세먼지 없을까,S-DATE S-LOCATION O O
화요일 의정부 미세먼지 없을까,S-DATE S-LOCATION O O
수요일 의정부 미세먼지 없을까,S-DATE S-LOCATION O O
목요일 의정부 미세먼지 없을까,S-DATE S-LOCATION O O
금요일 의정부 미세먼지 없을까,S-DATE S-LOCATION O O
토요일 의정부 미세먼지 없을까,S-DATE S-LOCATION O O
일요일 의정부 미세먼지 없을까,S-DATE S-LOCATION O O
오늘 서울 미세먼지 알려주겠니,S-DATE S-LOCATION O O
내일 서울 미세먼지 알려주겠니,S-DATE S-LOCATION O O
모레 서울 미세먼지 알려주겠니,S-DATE S-LOCATION O O
글피 서울 미세먼지 알려주겠니,S-DATE S-LOCATION O O
