question,label
야 먼지 알려주겠니,0
아니 먼지 정보 알려주세요,0
그 때 미세먼지 어떨까,0
그 때 먼지 좋으려나,0
미세먼지 어떨 것 같은데,0
그러면 미세먼지 어때,0
미세먼지 말해줄래,0
먼지 미세먼지,0
참 먼지 많이 꼈나,0
참 먼지 어떠냐,0
야 미세먼지 어때,0
토요일 먼지 알려줘,0
헐 먼지 어떠려나,0
전주 미세먼지 어떤지 말해줘,0
미세먼지 궁금해서 물어봤어,0
아 그러면 먼지 알려주세요,0
아 맞다 먼지 어떠려나,0
저기 현재 먼지 어떠려나,0
토요일 먼지 알려주겠니,0
먼지 궁금해,0
지금 먼지 어떤데,0
저기 미세먼지 어떨까,0
먼지 완전 문젠데,0
세종 먼지 한 번 알려줘,0
모레 먼지 궁금해,0
먼지 궁금해요,0
미세먼지 어떨까,0
지금 미세먼지 어떨까 심해지네,0
현재 미세먼지 어떨까,0
공기 미세먼지 좀 알려줄래,1
미세먼지 먼지,0
미세먼지 좀 먼지,0
월요일 근데 먼지 어떠려나,0
미세먼지 없니 현재,0
지금 미세먼지 없니 현재,0
공기 미세먼지 현재,1
공기상태 알려줘,1
아 먼지 심하네,0
어떤데 먼지,0
먼지 알려줬으면 졸겠어,0
미세먼지 없나 하,0
지금 먼지 많네,0
월요일 여행갈건데 먼지 알려줘,0
먼지 궁금하네,0
토요일 먼지 심하니,0
월요일 미세먼지 심할까,0
먼지 많이 심하려나,0
알려주세요 먼지,0
먼지 꼈나,0
먼지 끼었나,0
현재 지금 먼지 많니,0
먼지 알려주세요 궁금해요,0
미세먼지 혹시라도 심할까,0
먼지 안 심해야 하는데,0
나한테 공기상태 알려줘,1
나 궁금한데 미세먼지 알려줘,0
여행 갈건데 미세먼지 어때,0
나 서울 여행 가는데 미세먼지 알려줘,0
월요일 먼지 깨끗하니,0
서울 다음 주 먼지 알려줄래요,0
부안 먼지 어떻게 돼,0
토요일 서천 미세먼지 어떨까 좀 알려줄수 있니,0
월요일 공기상태 알려줄수 있어,1
이번 주 가로수길 미세먼지 알려줄래,0
구암 다음 주 미세먼지 알려줘,0
이번 주 영등포 먼지 말해줘,0
구로 다음 주 미세먼지 알려줄래,0
일산 미세먼지 어떨까 어떻게 돼요,0
토요일 안암 미세먼지 어떨까 좀 알려줄수 있니,0
월요일 미세먼지 알려줄 수 있어,0
